title,source,country,year,description,sector,type,link
Burundi National Adaptation Programmes of Action to Climate Change,"Burundi Ministry for Land Management, Tourism and Environment",Burundi,2007,"The National Adaptation Programme of Action (NAPA) for Burundi (2007) outlines the country’s urgent priorities for adapting to climate change impacts. Prepared by the Ministry for Land Management, Tourism and Environment with UNDP and GEF support, the plan identifies Burundi’s acute vulnerability to droughts, floods, soil erosion, and biodiversity loss, which threaten agriculture, water resources, energy, health, and natural ecosystems.
The NAPA emphasizes community-based adaptation, reforestation, erosion control, rainwater harvesting, climate-resilient crops, and renewable energy as immediate priorities. It also highlights the importance of early warning systems, institutional capacity building, and integration of climate resilience into national development strategies. Twelve priority projects were formulated to reduce vulnerability, safeguard livelihoods, and strengthen resilience, aligning with Burundi’s commitments under the UNFCCC and Kyoto Protocol.
",Climate Adaptation & Mitigation,policy,https://www.eac.int/index.php?option=com_documentmananger&task=download.document&file=bWFpbl9kb2N1bWVudHNfcGRmX0VBZnlSTXFzRGhZRVlLdW9LSHNnVkRNTmF0aW9uYWwgQWRhcHRhdGlvbiBQcm9ncmFtbWUgb2YgQWN0aW9uLUJ1cnVuZGk=&counter=623
WATER SECTOR AND CLIMATE RESILIENCE BUILDING SUPPORT PROGRAMME IN BURUNDI (PASEREC - PHASE 1) ,African development Bank (AFDB),Burundi,2024,"The Burundi Water Sector and Climate Resilience Building Support Programme (PASEREC Phase 1) aims to enhance access to safe water and strengthen climate resilience in vulnerable communities. Supported by the African Development Bank, it focuses on rehabilitating water infrastructure, promoting integrated watershed management, and building institutional capacity for climate risk planning. The program emphasizes inclusive participation, especially of women and youth, and supports climate-smart agriculture and disaster preparedness. It aligns with Burundi’s national development goals and contributes to regional and global climate commitments.",Water Management & Security,report,https://www.afdb.org/sites/default/files/documents/projects-and-operations/burundi_-_water_sector_and_climate_resilience_building_support_programme_paserec-phase_1_-_approved.pdf
BURUNDI THIRD NATIONAL COMMUNICATION ON CLIMATE CHANGE (TNCCC)/EXECUTIVE SUMMARY,Burundi Ministry of Environment,Burundi,2019,"Burundi’s Third National Communication on Climate Change (2019) outlines the country’s climate vulnerabilities, greenhouse gas emissions trends, and strategic adaptation and mitigation measures across key sectors.
The report highlights agriculture, energy, water resources, health, and infrastructure as the most climate-sensitive areas. Between 2005 and 2015, emissions rose due to deforestation and land conversion, with the agriculture and energy sectors as major contributors. Despite being a net carbon sink, Burundi’s sequestration capacity is declining. The document presents sector-specific adaptation strategies—such as conservation agriculture, improved livestock systems, renewable energy, and resilient infrastructure—and calls for enhanced public awareness, institutional coordination, and technology transfer to support climate-resilient development.
",Agriculture & Food Security,report,https://unfccc.int/sites/default/files/resource/Burundi%20TNC%20executive%20summary.pdf
BURUNDI: NATIONAL CLIMATE CHANGE PROFILE,African development Bank (AFDB),Burundi,2018,"Burundi’s National Climate Change Profile highlights the country’s acute vulnerability to climate risks, especially in agriculture, water resources, and public health.
The profile outlines rising temperatures, erratic rainfall, and increased frequency of floods and droughts, which threaten food security and rural livelihoods. It emphasizes limited adaptive capacity, high dependence on rain-fed farming, and weak institutional coordination. Key priorities include integrating climate resilience into national planning, strengthening early warning systems, and mobilizing climate finance. The document also stresses the importance of community-based adaptation, gender inclusion, and regional cooperation to address transboundary climate challenges.
",Climate Adaptation & Mitigation,report,https://www.preventionweb.net/media/93574/download?startDownload=20251116
BURUNDI ENERGY PROFILE,International Renewable Energy Agency (IRENA),Burundi,2025,"The IRENA Burundi Energy Profile (2025) highlights the country’s heavy reliance on renewable energy, with 82% of total supply in 2022 coming mainly from bioenergy and hydropower. Electricity generation remains modest at 405 GWh, of which 96% is renewable, dominated by hydro. Despite abundant solar potential, uptake is limited, while biomass continues to dominate household energy use. The profile underscores challenges in energy self-sufficiency (down to 81%) and the need for diversification into solar and wind.
",Energy,report,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Burundi_Africa_RE_SP.pdf
Energy Strategy and Action Plan for Burundi, European Union Energy Initiative (euei),Burundi,2011,"The Burundi Energy Strategy and Action Plan (2011) sets out a roadmap to expand modern energy access, diversify sources, and strengthen sustainability. It prioritizes hydropower development, rural electrification, and promotion of solar, biomass, and peat as alternatives to traditional fuels. The plan also emphasizes energy efficiency, private sector participation, and institutional reforms to improve governance. By linking energy access to poverty reduction, gender equity, and climate resilience, the strategy positions Burundi’s energy sector as a driver of inclusive socio-economic growth.
",Energy,report,https://cdn.climatepolicyradar.org/navigator/BDI/2011/energy-strategy-and-action-plan-2011_96451afd5519ade22748864dc1bd389f.pdf
Uganda National Climate Change Policy,Uganda Ministry of Water and Environment,Uganda,2015,"Uganda’s National Climate Change Policy (2015) provides a strategic framework for coordinated climate action across sectors and governance levels. It aims to ensure climate resilience, promote low-carbon development, and integrate climate change into national planning and budgeting processes. The policy prioritizes adaptation in agriculture, water, health, and infrastructure, while supporting mitigation through renewable energy, sustainable forestry, and efficient transport. It emphasizes institutional capacity building, public awareness, and stakeholder engagement, including gender and youth inclusion. Implementation is led by the Climate Change Department under the Ministry of Water and Environment, aligning with Uganda’s Vision 2040 and global commitments like the UNFCCC and SDGs.",Climate Adaptation & Mitigation,policy,https://climatefinance.go.ug/sites/default/files/Publications/National%20Climate%20Change%20Policy%20April%202015%20final_0.pdf
Uganda Snapshot on Water and Climate, Global Water Partnership,Uganda,2022,"Uganda’s Snapshot on Water and Climate highlights growing challenges in water access, sanitation, and climate resilience amid rapid population growth and environmental degradation.
Despite low overall water stress, Uganda faces extremely high risks in water quality, sanitation, and regulatory capacity. Wetland loss, urban migration, and underinvestment threaten service delivery, with projections showing that 90% of Ugandans may lack safely managed water by 2030. Climate change is intensifying floods, droughts, and displacement, while governance gaps and limited gender inclusion hinder adaptive capacity. The snapshot calls for urgent reforms in financing, data systems, and transboundary water management to safeguard livelihoods and meet SDG 6 targets.",Water Management & Security,report,https://www.gwp.org/globalassets/global/about-gwp/publications/uganda-snapshot-gwlp---web.pdf
UGANDA NATIONAL CLIMATE CHANGE ACT,Uganda Ministry of Agriculture,Uganda,2021,"Uganda’s National Climate Change Act (2021) establishes a legal framework for coordinated climate action, aligning national efforts with global agreements like the Paris Accord and supporting climate-resilient development.
The Act provides for monitoring, reporting, and verification of climate impacts, institutional coordination, and financing mechanisms. It mandates the creation of District Climate Change Action Plans, empowers local governments to develop ordinances, and ensures representation of smallholder farmers and women in advisory committees. Key provisions include support for climate-smart agriculture, public awareness, and access to grants and incentives for climate innovations. The Act also enables litigation for climate-related harm and requires climate responsiveness in national budgeting. It is spearheaded by the Ministry of Water and Environment and the Ministry of Agriculture, Animal Industry and Fisheries.
",Agriculture & Food Security,policy,https://acsa-ug.org/wordpress/wp-content/uploads/2022/09/The-National-Climate-Change-Act-2021.pdf
"Climate Change and Future 
Crop Suitability in Uganda","Hunter. R., Crespo. O., Coldrey, K, Cronin, K, New, M.",Uganda,2020,"This paper assesses how climate change will affect the future suitability of key crops in Uganda, offering region-specific insights to guide adaptation planning for smallholder farmers.
Authored by Hunter, Crespo, Coldrey, Cronin, and New, the study was produced by the University of Cape Town for IFAD’s Adaptation for Smallholder Agriculture Programme (ASAP). It uses climate projections and the EcoCrop model to evaluate how rising temperatures and shifting rainfall patterns will impact crops like beans, cassava, maize, groundnuts, sesame, and soybeans across Uganda’s four regions.
",Agriculture & Food Security,research,https://www.ifad.org/documents/38714170/42164624/climate_analysis_uganda.pdf/f7b00f39-83a6-361f-08c7-3803630610e9?t=1605782476000
"UGANDA CLIMATE SMART
 AGRICULTURE",Uganda Ministry of Agriculture,Uganda,2021,"Uganda’s Climate Smart Agriculture (CSA) Guide (2021) offers a practical roadmap for scaling resilient, low-emission farming across the country’s diverse agro ecological zones.
Developed by the Ministry of Agriculture with support from CARE, Oxfam, CRS, and World Vision, the guide documents CSA practices such as intercropping, agroforestry, water harvesting, conservation agriculture, and climate-resilient livestock systems. It highlights case studies from districts like Sheema, Mbarara, and Mukono, showing how farmers are adapting to droughts, floods, and soil degradation. The guide also maps CSA stakeholders, outlines enabling policies, and promotes farmer-to-farmer learning to accelerate adoption. It aligns with Uganda’s National Climate Change Policy and aims to reach 6 million farming households with climate-smart solutions.",Agriculture & Food Security,policy,https://careclimatechange.org/wp-content/uploads/2021/06/The-Climate-Smart-Agriculture-book-2021.pdf
ENERGY POLICY FOR UGANDA,Uganda Ministry of Energy and Mineral Development,Uganda,2023,"The Energy Policy for Uganda (2023) provides a comprehensive framework to guide the country’s energy transition toward sustainability, security, and universal access. It emphasizes diversification of energy sources, with strong focus on renewables such as hydropower, solar, wind, and biomass, while reducing reliance on fossil fuels. The policy prioritizes rural electrification, clean cooking solutions, and energy efficiency to improve livelihoods and reduce environmental impacts. It also strengthens governance, private sector participation, and regional power trade, positioning Uganda to achieve inclusive growth, climate resilience, and its long-term development goals.
",Energy,policy,https://www.era.go.ug/media/2025/04/Energy-Policy-for-Uganda-2023.pdf
UGANDA ENERGY PROFILE,International Renewable Energy Agency (IRENA),Uganda,2025,"The IRENA Uganda Energy Profile (2025) provides an overview of the country’s energy mix, emphasizing its strong reliance on renewables and traditional biomass. In 2022, renewables contributed 92% of electricity generation, primarily from hydropower, while solar and wind remain underutilized despite significant potential. Biomass continues to dominate household energy use, underscoring challenges in clean cooking and energy efficiency. The profile highlights Uganda’s progress in expanding electricity access, yet notes persistent rural gaps. Diversification into modern renewables is seen as key to strengthening energy security, resilience, and sustainable development.
",Energy,report,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Uganda_Africa_RE_SP.pdf
South Sudan National Adaptation Plan for Climate Change,South Sudan Ministry of Environment and Forestry,South Sudan ,2021,"South Sudan’s National Adaptation Plan (NAP) identifies priority actions to address the country’s high vulnerability to climate change, particularly in agriculture, water, health, and disaster risk management. Developed with support from UNDP, the plan emphasizes institutional strengthening, climate data systems, and community-based adaptation. It promotes sustainable land use, early warning systems, and resilient infrastructure, while integrating gender equity and conflict sensitivity. The NAP aligns with South Sudan’s development goals and international commitments under the UNFCCC, aiming to reduce climate risks and enhance adaptive capacity across all sectors.",Climate Adaptation & Mitigation,policy,https://www.undp.org/sites/g/files/zskgke326/files/migration/ss/UNDP_FIRST_NATIONAL_ADAPTATION_PLAN_South_Sudan_Report_FINAL_v1.pdf
Rising from the Depths Water Security and Fragility in South Sudan,World Bank Group,South Sudan ,2023,"This World Bank report explores how water insecurity and climate change deepen fragility in South Sudan, while also offering pathways for resilience and recovery.
Titled “Rising from the Depths: Water Security and Fragility in South Sudan”, the 2023 report highlights the country’s extreme vulnerability to floods, droughts, and displacement. It documents how three consecutive years of severe flooding (2019–2021) affected over a million people and caused economic losses exceeding $670 million, exacerbated by weak institutions and decades of conflict.
By harnessing its vast water resources—especially the Nile Basin and Sudd wetlands—South Sudan can turn water from a source of fragility into a foundation for peace and development.",Water Management & Security,report,https://shorthand.worldbankgroup.org/water-security-and-fragility-in-south-sudan/
Rapid Situation Assessment and Gap Analysis Report in South Sudan,Sustainable Energy for All ,South Sudan ,2013,"The Rapid Situation Assessment and Gap Analysis Report in South Sudan (SEforALL, 2013) provides a detailed overview of the country’s energy access challenges and opportunities. It highlights South Sudan’s extreme energy poverty, with less than 1% of the population connected to the grid and heavy reliance on traditional biomass for cooking. The report identifies gaps in policy, financing, and infrastructure, while emphasizing the potential of decentralized renewable energy solutions such as solar home systems and mini-grids. It calls for stronger institutional frameworks, private sector engagement, and targeted investment to accelerate universal access and support climate resilience.
",Energy,report,https://www.seforall.org/sites/default/files/South_Sudan_RAGA_EN_Released.pdf
"The Geopolitics Of Energy Resources In South Sudan: 
Examining The Geopolitical Implications Of Oil, Gas, And 
Renewable Energy, Including The Impact Of Resource 
Dependence, Energy Security, And Energy Access 
Competition ",Jacob C Makol,South Sudan ,2023,"This research paper explores how oil, gas, and renewable energy shape the country’s political economy and regional relations. It examines the implications of resource dependence, energy security challenges, and competition over energy access. The study highlights South Sudan’s reliance on oil revenues, vulnerability to global price fluctuations, and the geopolitical tensions with neighboring states over pipelines and trade. It also considers renewable energy as a potential pathway to diversify the energy mix, reduce conflict drivers, and strengthen long-term stability.",Energy,research,https://www.iosrjournals.org/iosr-jhss/papers/Vol.28-Issue8/Ser-2/A2808020104.pdf
SOUTH SUDAN ENERGY PROFILE,International Renewable Energy Agency (IRENA),South Sudan ,2025,"The IRENA South Sudan Energy Profile (2025) provides an overview of the country’s energy mix, highlighting its reliance on traditional biomass and limited electricity generation. In 2022, renewables accounted for 78% of total energy supply, primarily from bioenergy, while fossil fuels dominated electricity generation. Hydropower potential remains underutilized, and solar resources are abundant but scarcely deployed. The profile underscores challenges in energy access, with per capita electricity generation among the lowest globally, and calls for diversification into solar, hydro, and modern bioenergy to improve energy security and resilience.
",Energy,report,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/South%20Sudan_Africa_RE_SP.pdf
THE SOUTH SUDAN ENERGY ACCESS PROJECT (P178891),South Sudan Ministry of Energy and Dams,South Sudan ,2023,"The South Sudan Energy Access Project (P178891), supported by the World Bank, aims to expand reliable electricity access in one of the world’s least electrified countries. Implemented through the Ministry of Energy and Dams, the project focuses on off-grid solar solutions, mini-grids, and clean cooking technologies to reach households, schools, and health facilities. It also strengthens institutional capacity, private sector participation, and regulatory frameworks to ensure sustainability. By addressing affordability and infrastructure gaps, the project contributes to poverty reduction, climate resilience, and South Sudan’s long-term development goals.
",Energy,report,https://documents1.worldbank.org/curated/en/099072003102336619/pdf/P17889108f5871040a4a6041f77d847f0b.pdf
"DRC NATIONAL 
ADAPTATION PLAN 
TO CLIMATE CHANGE 
(2022-2026)",Democratic Republic of the Congo (DRC)  Ministry of the Environment and Sustainable Development,Democratic Republic of Congo (DRC),2022,"The DRC’s National Adaptation Plan (NAP) responds to the country’s high exposure to climate risks—floods, droughts, deforestation, and biodiversity loss—by promoting inclusive, sustainable, and climate-resilient development. It prioritizes adaptation in agriculture, water, health, energy, and infrastructure, with a strong emphasis on protecting ecosystems and vulnerable populations. The plan integrates gender equality and social inclusion, recognizing the disproportionate impacts of climate change on women and marginalized groups. Key components include institutional capacity building, climate data systems, early warning mechanisms, and community-based adaptation. The NAP aligns with the DRC’s national development strategies and international commitments under the UNFCCC and the Paris Agreement, aiming to mobilize climate finance and foster multisectoral collaboration for long-term resilience.
",Climate Adaptation & Mitigation ,policy,https://wrd.unwomen.org/sites/default/files/2024-09/DRC_National%20adaptation%20plan%20to%20climate%20change%20%282022-2026%29.pdf
"DEMOCRATIC REPUBLIC OF CONGO COUNTRY CLIMATE AND DEVELOPMENT REPORT
",World Bank Group,Democratic Republic of Congo (DRC),2023,"The Democratic Republic of Congo Country Climate and Development Report (2023) by the World Bank Group outlines how climate change intersects with DRC’s development challenges, and proposes integrated strategies for resilience, inclusive growth, and low-carbon transformation.
This comprehensive report highlights that DRC faces compounding risks: high poverty (62.3% in 2022), fragile institutions, and increasing climate extremes such as floods and droughts. Despite vast mineral wealth and hydropower potential, the country remains a net food importer and suffers from deforestation, poor infrastructure, and limited access to clean energy and water.
This report supports DRC’s 2030 National Strategic Development Plan and its ambition to become a middle-income country by 2035 through sustainable, diversified, and climate-resilient development.",Climate Adaptation & Mitigation ,report,https://openknowledge.worldbank.org/bitstreams/97d3a673-58ff-4b25-b743-8ff7e45425a6/download
Climate and Environmental Security in the Democratic Republic of Congo,German Council on Foreign Relations,Democratic Republic of Congo (DRC),2023,"The 2023 DGAP report “Climate and Environmental Security in the Democratic Republic of Congo” examines how climate change, environmental degradation, and resource exploitation intensify conflict and human insecurity in the DRC. It highlights how climate-induced disasters, deforestation, and competition over land and water exacerbate existing tensions, particularly in conflict-prone eastern regions. The report warns that global demand for critical minerals and conservation efforts may further marginalize local communities if not managed inclusively. It calls for integrated, community-centered approaches that align climate action with peacebuilding, human rights, and sustainable development.
",Climate Adaptation & Mitigation ,report,https://dgap.org/system/files/article_pdfs/dgap-report-2023-EN-03-DRC.pdf
" Democratic Republic of the Congo: Climate, Peace and Security Fact Sheet",The Norwegian Institute of International Affairs,Democratic Republic of Congo (DRC),2023,"The Climate, Peace and Security Fact Sheet for the Democratic Republic of the Congo (2023), published by SIPRI and NUPI, highlights how climate change exacerbates conflict, displacement, and food insecurity. With over 25 million people facing acute hunger and 6.4 million displaced, climate shocks intensify competition over land, water, and resources. Armed groups exploit environmental assets, while weak governance and inequality hinder resilience. The report calls for conflict-sensitive climate adaptation, responsible resource extraction, and integrated peacebuilding strategies to address the complex links between climate and insecurity.",Agriculture & Food Security,report,https://www.sipri.org/sites/default/files/2023-11/2023_sipri-nupi_fact_sheet_drc_nov.pdf
DRC’s Renewable Energy Potential and Country Overview,Development Reimagined ORG,Democratic Republic of Congo (DRC),2024,"The DRC’s Renewable Energy Potential and Country Overview (2024) highlights the Democratic Republic of Congo’s vast untapped energy resources and opportunities for sustainable development. With immense hydropower potential—estimated to be among the largest globally—the report underscores the role of the Inga Dam and other renewable sources such as solar, wind, and biomass. Despite abundant resources, energy access remains limited, with rural electrification rates among the lowest in Africa. The overview calls for investment, policy reforms, and regional cooperation to harness renewables for inclusive growth, poverty reduction, and climate resilience.
",Energy,report,https://developmentreimagine.b-cdn.net/wp-content/uploads/2024/03/DRC.pdf
DEMOCRATIC REPUBLIC OF THE CONGO ENERGY PROFILE,International Renewable Energy Agency (IRENA),Democratic Republic of Congo (DRC),2025,"The IRENA Democratic Republic of the Congo (DRC) Energy Profile (2025) highlights the country’s vast renewable energy potential alongside persistent access challenges. In 2022, renewables accounted for 96% of total electricity generation, primarily from hydropower, reflecting the DRC’s immense untapped capacity. Despite this, overall energy supply remains dominated by traditional biomass, which continues to fuel most household needs. The profile underscores low electrification rates, especially in rural areas, and calls for diversification into solar and modern bioenergy. Harnessing the DRC’s hydropower and renewable resources is critical to improving energy security, access, and sustainable development.
",Energy,report,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Democratic%20Republic%20of%20the%20Congo_Africa_RE_SP.pdf
Somalia National Climate Change Policy,Somalia Ministry of Environment and Climate Change,Somalia,2023,"Somalia’s National Climate Change Policy (2023) sets a framework for building climate resilience and promoting low-carbon development. It prioritizes adaptation in agriculture, water, health, and infrastructure, while supporting mitigation through renewable energy and sustainable land use. The policy emphasizes inclusive governance, gender equity, and climate finance, aligning with Somalia’s development goals and global climate commitments.",Climate Adaptation & Mitigation,report,https://moecc.gov.so/wp-content/uploads/2024/10/Somalia-National-Climate-Change-Policy-EN.pdf
Climate Change Impact and Mitigation in Somalia: Water Harvesting and Conservation,Dr. Shariff Osman,Somalia,2022,"This report highlights how water harvesting and conservation can help Somalia mitigate climate change impacts and build resilience in drought-prone regions.
Titled “Climate Change Impact and Mitigation in Somalia: Water Harvesting and Conservation”, the publication explores how erratic rainfall, rising temperatures, and prolonged droughts threaten food security, pastoral livelihoods, and water access. It emphasizes the importance of rainwater harvesting, underground tanks, sand dams, and community-led watershed management to improve water availability and reduce vulnerability. The report also advocates for integrating traditional knowledge with modern techniques, strengthening institutional capacity, and scaling climate-smart water infrastructure to support sustainable development and peacebuilding in Somalia.",Water Management & Security,report,https://eastafricas.org/wp-content/uploads/2025/03/Climate-Change-Impact-and-Mitigation-in-Somalia-Water-Harvesting-and.pdf
Examining the impact of climate change on water resources in Somalia: The role of adaptation,"Abdimajid Ibrahim Ali, Youssef Kassem, Hüseyin Gökçekuş",Somalia,2023,"This study analyzes how climate change is reshaping water availability in Somalia and emphasizes the urgent need for adaptive strategies to safeguard livelihoods and ecosystems.
Titled “Examining the Impact of Climate Change on Water Resources in Somalia: The Role of Adaptation”, the paper explores how rising temperatures, erratic rainfall, and prolonged droughts are intensifying water scarcity across the country. It highlights the vulnerability of Somalia’s predominantly pastoral and agro-pastoral communities, whose dependence on seasonal water sources makes them especially susceptible to climate shocks. The authors advocate for integrated water resource management, community-based adaptation, and investment in water infrastructure—such as rainwater harvesting and small-scale irrigation—as critical tools for resilience. The study also calls for stronger institutional coordination, climate-informed planning, and inclusive policies that empower local actors to respond effectively to water-related climate risks.
",Water Management & Security,research,https://www.researchgate.net/profile/Abdimajid-Ali-2/publication/369971603_Examining_the_impact_of_climate_change_on_water_resources_in_Somalia_The_role_of_adaptation/links/6437020d609c170a13111e81/Examining-the-impact-of-climate-change-on-water-resources-in-Somalia-The-role-of-adaptation.pdf?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIn19
"Climate change, adaptation and building human resilience in Somalia",Mintewab Bezabih,Somalia,2022,"This report explores how climate change is reshaping Somalia’s development landscape and outlines strategies to strengthen human resilience through inclusive, adaptive responses.
Titled “Climate Change, Adaptation and Building Human Resilience in Somalia” (2023), the publication highlights how rising temperatures, erratic rainfall, droughts, and floods are intensifying food insecurity, displacement, and poverty. It emphasizes the need for community-based adaptation, climate-smart agriculture, and water resource management, while also calling for stronger institutional coordination and integration of climate risks into national planning. The report advocates for empowering women, youth, and marginalized groups in climate decision-making and stresses the importance of linking humanitarian aid with long-term resilience strategies.
",Climate Adaptation & Mitigation,research,https://nec.gov.so/wp-content/uploads/2023/06/Climate-change-adaptation-and-building-human-resilience-in-Somalia.pdf
Impacts of Climate Change on Water Resource Availability in Somalia:  A Comprehensive Review,Omar Osman Omar,Somalia,2025,"This comprehensive review examines how climate change is reshaping water resource availability in Somalia and outlines key adaptation strategies to address growing scarcity.
The article “Impacts of Climate Change on Water Resource Availability in Somalia: A Comprehensive Review” explores how rising temperatures, erratic rainfall, and prolonged droughts are intensifying water stress across Somalia’s arid and semi-arid regions. It highlights the vulnerability of pastoral and agro-pastoral communities, whose livelihoods depend heavily on seasonal water sources. The review emphasizes the need for integrated water resource management,  rainwater harvesting, and climate-resilient infrastructure to mitigate risks. It also calls for stronger institutional coordination, investment in early warning systems, and community-based adaptation to enhance resilience and ensure sustainable water access.",Water Management & Security,research,https://ejtas.com/index.php/journal/article/view/1442/1002
Exploring climate change resilience of major crops in Somalia:implications for ensuring food security,"Abdi, A. H., Sugow, M. O., & Halane, D. R. ",Somalia,2024,"This study assesses the climate resilience of Somalia’s key crops and offers strategies to safeguard food security under worsening climate conditions.
Titled “Exploring Climate Change Resilience of Major Crops in Somalia: Implications for Ensuring Food Security” (2024), the article examines how rising temperatures, erratic rainfall, and droughts affect staple crops like sorghum, maize, and cowpeas. It evaluates crop performance under climate stress and identifies adaptive traits and practices that enhance resilience. The authors recommend promoting drought-tolerant varieties, improving seed systems, and scaling up climate-smart agriculture. Strengthening research, extension services, and farmer education is also emphasized to build long-term food system resilience in Somalia.",Agriculture & Food Security,research,https://www.tandfonline.com/doi/epdf/10.1080/14735903.2024.2338030?needAccess=true
"Accelerating Sustainable and Clean Energy Access Transformation in Somalia (ASCENT) 
(P181341) ",Somalia ministry of Energy and Resources,Somalia,2023,"The Accelerating Sustainable and Clean Energy Access Transformation (ASCENT) Project (P181341), supported by the World Bank and the Ministry of Energy and Water Resources, aims to expand affordable, reliable, and sustainable energy access across Somalia. The project focuses on off-grid solar systems, mini-grids, and clean cooking solutions, targeting households, schools, health facilities, and businesses. It also strengthens institutional capacity, regulatory frameworks, and private sector participation to ensure long-term sustainability. By addressing energy poverty and climate resilience, ASCENT supports inclusive growth, poverty reduction, and Somalia’s transition toward a modern, renewable energy future.
",Energy,policy,https://moewr.gov.so/wp-content/uploads/2023/11/ESMF-ASCENT_Somalia.pdf
SOMALIA ENERGY PROFILE,International Renewable Energy Agency (IRENA),Somalia,2025,"The IRENA Somalia Energy Profile (2025) provides an overview of the country’s energy landscape, marked by heavy reliance on traditional biomass and extremely limited electricity generation. In 2022, renewables accounted for over 90% of total energy supply, primarily from bioenergy, while modern renewable sources such as solar and wind remain underdeveloped despite abundant potential. Electricity generation is minimal, with access rates among the lowest globally, underscoring severe energy poverty. The profile highlights opportunities for scaling up decentralized solar, wind, and modern bioenergy to improve energy security, resilience, and inclusive development.
",Energy,report,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Somalia_Africa_RE_SP.pdf